"","date","time","volume","tradingphase"
"224","2020-04-01","08:10:00",571308,"CONTINUOUS"
"225","2020-04-01","08:15:00",671147,"CONTINUOUS"
"226","2020-04-01","08:20:00",509178,"CONTINUOUS"
"227","2020-04-01","08:25:00",539813,"CONTINUOUS"
"228","2020-04-01","08:30:00",597876,"CONTINUOUS"
"229","2020-04-01","08:35:00",387675,"CONTINUOUS"
"230","2020-04-01","08:40:00",455284,"CONTINUOUS"
"231","2020-04-01","08:45:00",318144,"CONTINUOUS"
"232","2020-04-01","08:50:00",301259,"CONTINUOUS"
"233","2020-04-01","08:55:00",412849,"CONTINUOUS"
"234","2020-04-01","09:00:00",385500,"CONTINUOUS"
"235","2020-04-01","09:05:00",307023,"CONTINUOUS"
"236","2020-04-01","09:10:00",373218,"CONTINUOUS"
"237","2020-04-01","09:15:00",521827,"CONTINUOUS"
"238","2020-04-01","09:20:00",491457,"CONTINUOUS"
"239","2020-04-01","09:25:00",358476,"CONTINUOUS"
"240","2020-04-01","09:30:00",296566,"CONTINUOUS"
"241","2020-04-01","09:35:00",191268,"CONTINUOUS"
"242","2020-04-01","09:40:00",348707,"CONTINUOUS"
"243","2020-04-01","09:45:00",231109,"CONTINUOUS"
"244","2020-04-01","09:50:00",284553,"CONTINUOUS"
"245","2020-04-01","09:55:00",216547,"CONTINUOUS"
"246","2020-04-01","10:00:00",291199,"CONTINUOUS"
"247","2020-04-01","10:05:00",381718,"CONTINUOUS"
"248","2020-04-01","10:10:00",487248,"CONTINUOUS"
"249","2020-04-01","10:15:00",308868,"CONTINUOUS"
"250","2020-04-01","10:20:00",304975,"CONTINUOUS"
"251","2020-04-01","10:25:00",252221,"CONTINUOUS"
"252","2020-04-01","10:30:00",415735,"CONTINUOUS"
"253","2020-04-01","10:35:00",561774,"CONTINUOUS"
"254","2020-04-01","10:40:00",523134,"CONTINUOUS"
"255","2020-04-01","10:45:00",460541,"CONTINUOUS"
"256","2020-04-01","10:50:00",489176,"CONTINUOUS"
"257","2020-04-01","10:55:00",316070,"CONTINUOUS"
"258","2020-04-01","11:00:00",1279734,"CONTINUOUS"
"259","2020-04-01","11:05:00",245296,"CONTINUOUS"
"260","2020-04-01","11:10:00",734495,"CONTINUOUS"
"261","2020-04-01","11:15:00",104567,"CONTINUOUS"
"262","2020-04-01","11:20:00",228123,"CONTINUOUS"
"263","2020-04-01","11:25:00",139967,"CONTINUOUS"
"264","2020-04-01","11:30:00",194401,"CONTINUOUS"
"265","2020-04-01","11:35:00",250462,"CONTINUOUS"
"266","2020-04-01","11:40:00",265180,"CONTINUOUS"
"267","2020-04-01","11:45:00",145448,"CONTINUOUS"
"268","2020-04-01","11:50:00",162549,"CONTINUOUS"
"269","2020-04-01","11:55:00",392564,"CONTINUOUS"
"270","2020-04-01","12:00:00",254097,"CONTINUOUS"
"271","2020-04-01","12:05:00",301949,"CONTINUOUS"
"272","2020-04-01","12:10:00",430880,"CONTINUOUS"
"273","2020-04-01","12:15:00",545950,"CONTINUOUS"
"274","2020-04-01","12:20:00",343529,"CONTINUOUS"
"275","2020-04-01","12:25:00",186903,"CONTINUOUS"
"276","2020-04-01","12:30:00",173217,"CONTINUOUS"
"277","2020-04-01","12:35:00",575705,"CONTINUOUS"
"278","2020-04-01","12:40:00",889864,"CONTINUOUS"
"279","2020-04-01","12:45:00",574847,"CONTINUOUS"
"280","2020-04-01","12:50:00",514170,"CONTINUOUS"
"281","2020-04-01","12:55:00",643810,"CONTINUOUS"
"282","2020-04-01","13:00:00",448821,"CONTINUOUS"
"283","2020-04-01","13:05:00",461296,"CONTINUOUS"
"284","2020-04-01","13:10:00",469422,"CONTINUOUS"
"285","2020-04-01","13:15:00",245125,"CONTINUOUS"
"286","2020-04-01","13:20:00",289861,"CONTINUOUS"
"287","2020-04-01","13:25:00",218489,"CONTINUOUS"
"288","2020-04-01","13:30:00",1906380,"CONTINUOUS"
"289","2020-04-01","13:35:00",669868,"CONTINUOUS"
"290","2020-04-01","13:40:00",728826,"CONTINUOUS"
"291","2020-04-01","13:45:00",909193,"CONTINUOUS"
"292","2020-04-01","13:50:00",428521,"CONTINUOUS"
"293","2020-04-01","13:55:00",820862,"CONTINUOUS"
"294","2020-04-01","14:00:00",546204,"CONTINUOUS"
"295","2020-04-01","14:05:00",723680,"CONTINUOUS"
"296","2020-04-01","14:10:00",702334,"CONTINUOUS"
"297","2020-04-01","14:15:00",1004565,"CONTINUOUS"
"298","2020-04-01","14:20:00",698771,"CONTINUOUS"
"299","2020-04-01","14:25:00",552349,"CONTINUOUS"
"300","2020-04-01","14:30:00",444185,"CONTINUOUS"
"301","2020-04-01","14:35:00",796007,"CONTINUOUS"
"302","2020-04-01","14:40:00",614037,"CONTINUOUS"
"303","2020-04-01","14:45:00",491720,"CONTINUOUS"
"304","2020-04-01","14:50:00",951080,"CONTINUOUS"
"305","2020-04-01","14:55:00",932237,"CONTINUOUS"
"306","2020-04-01","15:00:00",975503,"CONTINUOUS"
"307","2020-04-01","15:05:00",975644,"CONTINUOUS"
"308","2020-04-01","15:10:00",1723183,"CONTINUOUS"
"309","2020-04-01","15:15:00",900008,"CONTINUOUS"
"310","2020-04-01","15:20:00",795886,"CONTINUOUS"
"311","2020-04-01","15:25:00",1144213,"CONTINUOUS"
"312","2020-04-01","",38321022,"CLOSING AUCTION"
"313","2020-04-02","",1270824,"OPENING AUCTION"
"314","2020-04-02","07:00:00",754521,"CONTINUOUS"
"315","2020-04-02","07:05:00",481574,"CONTINUOUS"
"316","2020-04-02","07:10:00",659351,"CONTINUOUS"
"317","2020-04-02","07:15:00",661989,"CONTINUOUS"
"318","2020-04-02","07:20:00",545679,"CONTINUOUS"
"319","2020-04-02","07:25:00",525941,"CONTINUOUS"
"320","2020-04-02","07:30:00",440431,"CONTINUOUS"
"321","2020-04-02","07:35:00",317015,"CONTINUOUS"
"322","2020-04-02","07:40:00",358748,"CONTINUOUS"
"323","2020-04-02","07:45:00",336857,"CONTINUOUS"
"324","2020-04-02","07:50:00",432600,"CONTINUOUS"
"325","2020-04-02","07:55:00",447274,"CONTINUOUS"
"326","2020-04-02","08:00:00",382816,"CONTINUOUS"
"327","2020-04-02","08:05:00",376224,"CONTINUOUS"
"328","2020-04-02","08:10:00",193423,"CONTINUOUS"
"329","2020-04-02","08:15:00",304827,"CONTINUOUS"
"330","2020-04-02","08:20:00",269701,"CONTINUOUS"
"331","2020-04-02","08:25:00",281086,"CONTINUOUS"
"332","2020-04-02","08:30:00",209765,"CONTINUOUS"
"333","2020-04-02","08:35:00",377382,"CONTINUOUS"
"334","2020-04-02","08:40:00",419459,"CONTINUOUS"
"335","2020-04-02","08:45:00",428527,"CONTINUOUS"
"336","2020-04-02","08:50:00",241917,"CONTINUOUS"
"337","2020-04-02","08:55:00",250097,"CONTINUOUS"
"338","2020-04-02","09:00:00",377614,"CONTINUOUS"
"339","2020-04-02","09:05:00",131333,"CONTINUOUS"
"340","2020-04-02","09:10:00",291597,"CONTINUOUS"
"341","2020-04-02","09:15:00",322801,"CONTINUOUS"
"342","2020-04-02","09:20:00",817401,"CONTINUOUS"
"343","2020-04-02","09:25:00",317427,"CONTINUOUS"
"344","2020-04-02","09:30:00",389849,"CONTINUOUS"
"345","2020-04-02","09:35:00",255315,"CONTINUOUS"
"346","2020-04-02","09:40:00",311926,"CONTINUOUS"
"347","2020-04-02","09:45:00",223324,"CONTINUOUS"
"348","2020-04-02","09:50:00",405739,"CONTINUOUS"
"349","2020-04-02","09:55:00",488579,"CONTINUOUS"
"350","2020-04-02","10:00:00",231285,"CONTINUOUS"
"351","2020-04-02","10:05:00",323455,"CONTINUOUS"
"352","2020-04-02","10:10:00",260388,"CONTINUOUS"
"353","2020-04-02","10:15:00",252731,"CONTINUOUS"
"354","2020-04-02","10:20:00",146139,"CONTINUOUS"
"355","2020-04-02","10:25:00",297564,"CONTINUOUS"
"356","2020-04-02","10:30:00",310632,"CONTINUOUS"
"357","2020-04-02","10:35:00",277545,"CONTINUOUS"
"358","2020-04-02","10:40:00",330240,"CONTINUOUS"
"359","2020-04-02","10:45:00",334870,"CONTINUOUS"
"360","2020-04-02","10:50:00",170964,"CONTINUOUS"
"361","2020-04-02","10:55:00",604646,"CONTINUOUS"
"362","2020-04-02","11:00:00",1307285,"CONTINUOUS"
"363","2020-04-02","11:05:00",165330,"CONTINUOUS"
"364","2020-04-02","11:10:00",76297,"CONTINUOUS"
"365","2020-04-02","11:15:00",157209,"CONTINUOUS"
"366","2020-04-02","11:20:00",95348,"CONTINUOUS"
"367","2020-04-02","11:25:00",25592,"CONTINUOUS"
"368","2020-04-02","11:30:00",99777,"CONTINUOUS"
"369","2020-04-02","11:35:00",260023,"CONTINUOUS"
"370","2020-04-02","11:40:00",112803,"CONTINUOUS"
"371","2020-04-02","11:45:00",143719,"CONTINUOUS"
"372","2020-04-02","11:50:00",185515,"CONTINUOUS"
"373","2020-04-02","11:55:00",136784,"CONTINUOUS"
"374","2020-04-02","12:00:00",182794,"CONTINUOUS"
"375","2020-04-02","12:05:00",88877,"CONTINUOUS"
"376","2020-04-02","12:10:00",175375,"CONTINUOUS"
"377","2020-04-02","12:15:00",208799,"CONTINUOUS"
"378","2020-04-02","12:20:00",254202,"CONTINUOUS"
